Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-JAN-2026|AADI|EQUITY|7786891760|7600|58704495|5046580437|13135269|41|1868661103|91475881|27984191|1966845|85275|7108593537|1150700|55820749|58897143|207783974|2127405|239139003|39765137|2493100|71121012|678298223
30-JAN-2026|AALI|EQUITY|1924688333|7400|64692116|27396698|5385818|49700|134485068|7086833|63505|3795112|4742227|247697077|1062000|17599108|27685831|16811387|1164340|37400012|28456074|190500|12730764|143100016
30-JAN-2026|ABBA|EQUITY|3935892857|51|0|2367628705|0|0|1065556023|0|524|71|0|3433185323|0|1320400|0|41020085|396600|0|1733900|0|0|44470985
30-JAN-2026|ABDA|EQUITY|620806680|2340|0|40448|0|98|444057|0|7575|486034|20|978232|538555304|21728234|0|28003600|400|0|30503300|0|0|618790838
30-JAN-2026|ABMM|EQUITY|2753165000|2880|1847600|1493930233|86000|0|420662400|420000|1536475|0|0|1918482708|0|805140779|3242509|6582849|194300|10362467|3352509|0|5806879|834682292
30-JAN-2026|ACES|EQUITY|17120389700|400|350606900|10879050400|96488900|6200000|2213105791|253745374|30630049|16324814|10539900|13856692128|6415500|365337830|175015114|582797390|6034400|1029725944|134620979|0|963650415|3263597572
30-JAN-2026|ACRO|EQUITY|3469345537|89|0|24700|0|0|3353393735|0|102|0|75000|3353493537|0|0|0|4863700|110883000|0|105300|0|0|115852000
30-JAN-2026|ACST|EQUITY|17675160000|131|0|16221146535|0|0|1434040100|0|1071|0|80|17655187786|0|573140|0|6794944|10750835|0|1853295|0|0|19972214
30-JAN-2026|ADCP|EQUITY|22222222200|55|0|463927700|1200000|0|1587113600|0|1558700|400|147078400|2200878800|0|0|0|16553300|4576100|0|214000|0|0|21343400
30-JAN-2026|ADES|EQUITY|589896800|15175|0|2672100|0|350|42381177|0|471|0|0|45054098|0|539011710|60300|4126764|115400|111500|412600|0|316000|544154274
30-JAN-2026|ADHI|EQUITY|8407608979|234|23082479|325200573|44623904|3000000|2238800781|720502|237260132|15300235|985047|2888973653|0|5935246|6188100|36029296|26531446|20003858|6132705|0|9030883|109851534
30-JAN-2026|ADMF|EQUITY|1235803109|8300|5177593|689588|106600|930516154|43211927|7830900|180249|71|0|987713082|0|185735|530139|234135214|3869818|1082312|8178209|8600|0|247990027
30-JAN-2026|ADMG|EQUITY|3889179559|230|1030000|1399506693|2290400|0|501902587|83|450027|0|0|1905179790|0|18062|0|7667428|2632300|0|4353796|0|1925414417|1940086003
30-JAN-2026|ADMR|EQUITY|40882331500|1985|441390300|35993279991|78717100|0|1721657275|557225164|10629976|29838100|197300|38832935206|11085700|538223937|195288930|797968045|2853000|228033448|92367134|0|183576100|2049396294
30-JAN-2026|ADRO|EQUITY|29389689400|2210|620293332|16360111653|108147568|1500|7980755428|637712745|52147984|15615000|507700|25775292910|10786600|649002367|255214526|469131738|9908242|1350536439|246234278|30087300|593495000|3614396490
30-JAN-2026|AEGS|EQUITY|1006080721|71|0|2307300|0|0|943383296|0|125|0|0|945690721|0|0|0|491800|1098200|0|58800000|0|0|60390000
30-JAN-2026|AGAR|EQUITY|1000000000|354|0|798985100|0|0|200756500|0|0|0|0|999741600|0|200|0|19800|25200|0|213200|0|0|258400
30-JAN-2026|AGII|EQUITY|3066660000|1930|5678500|1017994129|1790100|0|71521791|9504400|60|926500|0|1107415480|0|1086139620|0|18692600|10564000|2946200|9759100|0|0|1128101520
30-JAN-2026|AGRO|EQUITY|24740494294|218|0|117506090|602651003|21307948386|2367454634|4625798|2698318|2214957|894971|24405994157|0|4762380|0|53967152|11887137|0|6866567|0|0|77483236
30-JAN-2026|AGRS|EQUITY|47864384874|76|0|389707272|0|0|1692608762|0|1414728469|31|0|3497044534|0|1|0|11410714|29830498|33091400|3318342|0|4701453340|4779104295
30-JAN-2026|AHAP|EQUITY|4900000000|154|3066343009|35934081|0|0|1529667544|0|55197|66|0|4631999897|64086000|475155|0|33922441|158474349|0|6701300|0|0|263659245
30-JAN-2026|AIMS|EQUITY|220000000|438|0|139771342|0|0|78412558|0|18000|0|0|218201900|0|0|0|968500|669200|0|10400|0|0|1648100
30-JAN-2026|AISA|EQUITY|9311800000|140|169631429|6997217355|4350400|0|1602460110|3364513|1130713|160|8794665|8786949345|0|321546902|1927300|183276712|7374625|0|10097116|0|500|524223155
30-JAN-2026|AKKU|EQUITY|6449463636|38|0|5519566100|0|0|635461536|0|664400|6900|0|6155698936|0|195389000|0|23000100|800200|0|2040400|0|72535000|293764700
30-JAN-2026|AKPI|EQUITY|612248000|550|4000|146213173|0|2|100419804|17500|2122|0|0|246656601|0|33|34|49401|454303|0|94400|0|10267|608438
30-JAN-2026|AKRA|EQUITY|20073474600|1260|767014500|3449676100|150062900|5000000|906320185|372249121|3780377|21491825|470000|5676065008|38274300|163005934|915421185|504372492|5000500|1772155711|216413007|8217300|1062920063|4685780492
30-JAN-2026|AKSI|EQUITY|720000000|402|0|6486844|0|0|50575256|0|0|0|0|57062100|0|0|0|429600|46500|0|300|0|0|476400
30-JAN-2026|ALDO|EQUITY|2700713744|545|0|1961129732|0|0|739120086|0|82|0|0|2700249900|0|12|0|462632|1200|0|0|0|0|463844
30-JAN-2026|ALII|EQUITY|15825800000|765|0|5336879000|0|0|591001260|0|2284600|0|0|5930164860|0|6942491600|0|25377000|340745100|2584424640|2596800|0|0|9895635140
30-JAN-2026|ALKA|EQUITY|507665055|615|0|14390500|0|77500|49587905|0|21200|0|0|64077105|0|0|0|43200|2631923|0|100|0|0|2675223
30-JAN-2026|ALMI|EQUITY|3816000000|74|0|97045340|0|0|47006400|0|303000|0|0|144354740|0|0|0|32818700|725800|0|1604500|0|0|35149000
30-JAN-2026|ALTO|EQUITY|2191870558|18|0|1371844916|0|0|577065024|0|229039618|0|0|2177949558|0|0|0|7560100|11000|0|6098400|0|0|13669500
30-JAN-2026|AMAG|EQUITY|5001552516|432|55058700|191754821|210019533|388000000|35234196|0|23887500|0|0|903954750|0|5548600|0|1463400|7764300|3352200|78060100|0|100000|96288600
30-JAN-2026|AMAN|EQUITY|3873500000|228|0|1250500|0|0|572271900|0|0|0|0|573522400|0|4624300|0|6196900|1000|0|655400|0|0|11477600
30-JAN-2026|AMAR|EQUITY|18381094760|214|0|1268377760|0|367421455|433994986|0|539|176|0|2069794916|0|14871331344|0|1203197904|395803|21391898|30350620|0|821275|16127488844
30-JAN-2026|AMFG|EQUITY|434000000|3620|23500|13626782|0|0|35079500|28600|35076|0|0|48793458|114800|21576583|162700|1167000|390300|455700|12584659|76900|217400|36746042
30-JAN-2026|AMIN|EQUITY|1080000000|284|0|0|0|0|81529100|0|0|0|0|81529100|0|17466100|0|2924300|235186700|0|12093800|0|0|267670900
30-JAN-2026|AMMN|EQUITY|72518217656|7600|263269200|59651975551|24268200|0|1147208110|134723472|174614531|2668800|335500|61399063364|64958491|4501667364|506713840|707952369|44573200|2337857279|366843295|4548700|2584039754|11119154292
30-JAN-2026|AMMS|EQUITY|1235296802|510|0|359190531|0|0|244479445|0|119|38|0|603670133|0|630001369|0|264800|418500|0|942000|0|0|631626669
30-JAN-2026|AMOR|EQUITY|2222222400|376|8945500|352422800|0|0|462376500|0|21516300|0|0|845261100|10730454|0|0|28936000|1212600|1088100|154300|0|719846|42841300
30-JAN-2026|AMRT|EQUITY|41524501700|1745|478240400|16634848034|57356000|0|3870066390|420454272|4448638|8484800|0|21473898534|93486425|4280921703|1720668655|468754211|1925300|4952426903|421109925|10369500|1748005144|13697667766
30-JAN-2026|ANDI|EQUITY|9350000000|29|20585655|820786413|563700|0|2570776730|1017794267|266769497|110879|26|4697387167|0|0|0|5100|2555933|0|21800|0|0|2582833
30-JAN-2026|ANJT|EQUITY|3354175000|1730|0|83045651|0|0|53085135|100|0|0|0|136130886|0|3217218477|0|265300|247937|0|312400|0|0|3218044114
30-JAN-2026|ANTM|EQUITY|24030764725|4210|542758815|62906801|86827459|3500012|1784060137|639718644|14643629|12072451|652967|3147140915|88140740|344616972|900323748|903747800|5057835|1819929858|210112274|82646600|871274250|5225850077
30-JAN-2026|APEX|EQUITY|3546466661|204|0|1289168254|0|0|952912313|0|61548039|0|0|2303628606|0|309752599|0|82945030|297467|0|772129287|0|0|1165124383
30-JAN-2026|APIC|EQUITY|11766313488|1520|52966000|8720249331|86328700|0|536093941|469978475|545505685|6990000|0|10418112132|6068800|240779363|85709100|389211777|250|90566876|3093548|0|532771642|1348201356
30-JAN-2026|APII|EQUITY|1075760000|198|0|1462300|0|0|55892700|0|0|0|0|57355000|0|295400|0|2455600|36757300|0|34789700|0|142971000|217269000
30-JAN-2026|APLI|EQUITY|1362671400|346|0|216741400|0|0|545067400|0|165000|0|0|761973800|0|0|0|60600|85000|0|451000|0|0|596600
30-JAN-2026|APLN|EQUITY|22699326779|142|5283600|9319408798|1150000|0|3175383116|4000000|141554764|700000|390000|12647870278|0|3085603|3018700|325235237|3068300|5753400|9701761|0|7813500|357676501
30-JAN-2026|APOL|EQUITY|16452282461|0|0|649059480|1400000|0|775297451|0|91344020|14088335|575800|1531765086|0|2653784186|0|1180647657|8159700|13668011|1410754020|0|71000000|5338013574
30-JAN-2026|ARCI|EQUITY|25235000000|1775|552918600|21432059677|89193000|0|1432173323|336378847|577759721|3244300|1119400|24424846868|11162700|52059710|16642700|269574782|21403000|166065680|45241560|0|228003000|810153132
30-JAN-2026|AREA|EQUITY|2539601000|428|0|383524000|0|0|117036700|0|100|0|0|500560800|0|157300|0|2551200|6278300|0|452400|0|0|9439200
30-JAN-2026|ARGO|EQUITY|3174339029|1210|45000|659768814|0|0|2950450|0|70100|0|0|662834364|0|280|0|5320220|12150|0|0|0|0|5332650
30-JAN-2026|ARII|EQUITY|3750000000|280|117981800|1849441900|0|0|530219900|148553900|0|35000|0|2646232500|0|319208600|0|218850200|2149300|0|63500|0|76134900|616406500
30-JAN-2026|ARKA|EQUITY|2000000000|36|0|1092802700|0|0|904821800|0|0|0|0|1997624500|0|100|0|100|36000|0|1089300|0|0|1125500
30-JAN-2026|ARKO|EQUITY|2928495000|8550|0|2497156518|0|0|369541450|224500|11216000|0|0|2878138468|0|31473432|0|18350000|240200|0|292900|0|0|50356532
30-JAN-2026|ARMY|EQUITY|9006250000|50|1238919479|2958461794|8227180|274843376|1794847845|1073934402|382763030|2541380|526952595|8261491081|0|488927400|0|31551200|1329019|2532000|4800|0|0|524344419
