Date|Code|Description|Type|Isin Code|Issuer|Status|Stock Exchange|Listing Date|Currency|Form|Eff. Date Isin|Maturity Date|Expire Date|Exercise Price|Interest|Interest Type|Interest Freq|Nominal Value|Num. of Sec|Originated Amt|Current Amt|Total Scripless|Local (%)|Foreign (%)|Total (%)|Sector|Closing Price
30-JAN-2026|SKYB|NORTHCLIFF CITRANUSA INDONESIA Tbk|EQUITY|ID1000115801|NORTHCLIFF CITRANUSA INDONESIA Tbk, PT|ACTIVE|IDX|07-JUL-2010|IDR|Electronic||||||||100|585000000|||585000000|55.67|44.33|100|RETAIL TRADE|51
30-JAN-2026|SLIS|GAYA ABADI SEMPURNA Tbk|EQUITY|ID1000151608|GAYA ABADI SEMPURNA Tbk, PT|ACTIVE|IDX|07-OCT-2019|IDR|Certificate||||||||50|2463338248|||2463338248|97.01|2.99|100|ELECTRONICS|89
30-JAN-2026|SMAR|SINAR MAS AGRO RESOURCES AND TECHNOLOGY Tbk|EQUITY|ID1000101504|PT SINAR MAS AGRO RESOURCES AND TECHNOLOGY Tbk. (PT. SMART TBK)|ACTIVE|IDX||IDR|Electronic|20-JUN-2005|||||||200|2872193366|||216823000|5.41|2.14|7.55|PLANTATION|6275
30-JAN-2026|SMBR|SEMEN BATURAJA Tbk|EQUITY|ID1000127806|SEMEN BATURAJA, PT|ACTIVE|IDX|28-JUN-2013|IDR|Electronic||||||||100|9932534336|||2432534236|24.14|0.35|24.49|CEMENT|266
30-JAN-2026|SMCB|SOLUSI BANGUN INDONESIA Tbk|EQUITY|ID1000072309|SOLUSI BANGUN INDONESIA Tbk, PT|ACTIVE|IDX|10-AUG-1977|IDR|Electronic||||||||500|9019381973|||8999509734|84.5|15.28|99.78|CEMENT|775
30-JAN-2026|SMDM|SURYAMAS DUTAMAKMUR Tbk|EQUITY|ID1000067408|PT. SURYAMAS DUTAMAKMUR Tbk|ACTIVE|IDX|12-OCT-1995|IDR|Electronic|25-APR-2001|||||||500|4772138237|||4771976362|99.96|0.03|100|PROPERTY AND REAL ESTATE|745
30-JAN-2026|SMDR|SAMUDERA INDONESIA Tbk|EQUITY|ID1000075906|SAMUDERA INDONESIA Tbk, PT|ACTIVE|IDX||IDR|Electronic||||||||5|16375600000|||4068303800|21.86|2.98|24.84|TRANSPORTATION|378
30-JAN-2026|SMGA|SUMBER MINERAL GLOBAL ABADI Tbk|EQUITY|ID1000201809|SUMBER MINERAL GLOBAL ABADI Tbk, PT|ACTIVE|IDX|30-JAN-2024|IDR|Certificate||||||||20|8750000000|||4350000000|48.82|0.89|49.71|COAL MINING|109
30-JAN-2026|SMGR|SEMEN INDONESIA (PERSERO) Tbk|EQUITY|ID1000106800|SEMEN INDONESIA (PERSERO) Tbk, PT|ACTIVE|IDX|08-JUL-1991|IDR|Electronic|07-AUG-2007|||||||100|6751540089|||3293078334|21.2|27.57|48.78|CEMENT|2450
30-JAN-2026|SMIL|SARANA MITRA LUAS Tbk|EQUITY|ID1000189103|SARANA MITRA LUAS Tbk, PT|ACTIVE|IDX|12-MAY-2023|IDR|Certificate||||||||50|8751668469|||2201668469|24.06|1.1|25.16|MACHINERY AND HEAVY EQUIPMENT|372
30-JAN-2026|SMKL|SATYAMITRA KEMAS LESTARI Tbk|EQUITY|ID1000150204|SATYAMITRA KEMAS LESTARI Tbk, PT|ACTIVE|IDX|11-JUL-2019|IDR|Electronic||||||||100|3418085290|||668085290|14.53|5.02|19.55|PULP & PAPER|178
30-JAN-2026|SMKM|SUMBER MAS KONSTRUKSI Tbk|EQUITY|ID1000166408|SUMBER MAS KONSTRUKSI Tbk, PT|ACTIVE|IDX|09-MAR-2022|IDR|Certificate||||||||100|1253000000|||1253000000|67.94|32.06|100|BUILDING CONSTRUCTION|154
30-JAN-2026|SMLE|SINERGI MULTI LESTARINDO Tbk|EQUITY|ID1000201205|SINERGI MULTI LESTARINDO Tbk, PT|ACTIVE|IDX|10-JAN-2024|IDR|Certificate||||||||10|2328153048|||2268033048|85.5|11.92|97.42|CHEMICALS|171
